ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent of people tested who tested positive
10001,Chelsea/NoMad/West Chelsea,Manhattan,362,1536.31,89.12,17.19
10002,Chinatown/Lower East Side,Manhattan,1041,1356.26,188.91,23.64
10003,East Village/Gramercy/Greenwich Village,Manhattan,448,832.69,59.48,14.15
10004,Financial District,Manhattan,31,849.17,27.39,14.49
10005,Financial District,Manhattan,61,726.53,23.82,12.42
10006,Financial District,Manhattan,24,694.09,0,11.11
10007,TriBeCa,Manhattan,54,654.57,36.36,10.34
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,687,1169.4,110.64,17.32
10010,Flatiron/Gramercy/Kips Bay,Manhattan,264,815.52,61.78,11.11
10011,Chelsea,Manhattan,517,1044.43,70.71,15.95
10012,Greenwich Village/SoHo,Manhattan,162,675.53,37.53,13.47
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,259,892.15,68.89,15.44
10014,Hudson Square/Meatpacking District/West Village,Manhattan,296,953.51,77.31,14.69
10016,Kips Bay/Murray Hill/NoMad,Manhattan,676,1287.02,91.39,15.19
10017,East Midtown/Murray Hill,Manhattan,143,886.7,37.2,12.63
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,203,2129.79,31.47,18.68
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,593,1459.46,105.83,17.36
10021,Lenox Hill/Upper East Side,Manhattan,555,1256.35,138.09,14.82
10022,East Midtown,Manhattan,336,1107.64,85.71,13.87
10023,Lincoln Square,Manhattan,556,922.44,86.27,13.94
10024,Upper West Side,Manhattan,681,1187.7,116.85,16.5
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1305,1413.36,173.28,18.5
10026,Central Harlem (South),Manhattan,631,1617.2,94.83,22.3
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1020,1602.99,158.73,24.01
10028,Upper East Side/Yorkville,Manhattan,465,945.99,59,14.5
10029,East Harlem,Manhattan,1791,2271.65,247.33,27.12
10030,Central Harlem (North),Manhattan,491,1674.52,163.7,24.6
10031,Hamilton Heights/West Harlem,Manhattan,1299,2145.09,191.56,26.48
10032,Washington Heights (South),Manhattan,1490,2423.06,255.32,26.85
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1327,2241.16,192.53,26.25
10034,Inwood/Washington Heights (North),Manhattan,702,1629.77,157.87,22.92
10035,East Harlem,Manhattan,936,2718.82,325.33,27.09
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,412,1571.84,133.53,18.18
10037,Central Harlem (North)/East Harlem,Manhattan,535,2590.85,319.62,21.7
